#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
PNFGHFNJ_00039	1	795	164	795	100	21.1094	37.2	59.1
PNFGHFNJ_00040	1	156	44	156	100	31.7821	37.4	60
PNFGHFNJ_00041	1	144	41	144	100	14.4444	37.3	60
PNFGHFNJ_00042	1	516	118	516	100	26.7984	37.5	60
PNFGHFNJ_00043	1	780	155	780	100	23.4244	37.6	59.7
PNFGHFNJ_00044	1	1152	243	1152	100	24.7491	37.6	59
PNFGHFNJ_00045	1	516	118	516	100	25.4089	37	60
PNFGHFNJ_00046	1	738	114	738	100	16.3089	36.7	59.4
PNFGHFNJ_00047	1	795	186	795	100	27.9862	37.6	59.5
PNFGHFNJ_00048	1	1452	336	1452	100	26.8058	37.3	59.8
PNFGHFNJ_00049	1	774	143	774	100	21.0026	37.4	60
PNFGHFNJ_00050	1	909	203	909	100	24.7536	37.3	59.3
PNFGHFNJ_00051	1	3978	841	3978	100	25.32	37.3	59.6
PNFGHFNJ_00052	1	1686	389	1686	100	27.1518	37.3	59.3
PNFGHFNJ_00053	1	1425	310	1425	100	26.2379	37.4	59.5
PNFGHFNJ_00054	1	492	99	492	100	22.6037	37.5	60
PNFGHFNJ_00055	1	933	228	933	100	21.7042	37.1	59.6
PNFGHFNJ_00056	1	1401	318	1401	100	29.2184	37	59.3
PNFGHFNJ_00057	1	792	188	792	100	28.4899	37.3	60
PNFGHFNJ_00058	1	1617	294	1617	100	19.7749	36.7	60
PNFGHFNJ_00059	1	903	210	903	100	26.9834	37.2	59.6
PNFGHFNJ_00060	1	2748	604	2748	100	27.8133	37.5	59.7
PNFGHFNJ_00061	1	834	174	834	100	22.2626	37.1	58.9
PNFGHFNJ_00062	1	1386	330	1386	100	29.9199	37.4	59.5
PNFGHFNJ_00063	1	1218	238	1218	100	22.3374	37.4	59.2
PNFGHFNJ_00064	1	504	112	504	100	28.8373	37.4	60
PNFGHFNJ_00065	1	429	102	429	100	18.5594	37	60
PNFGHFNJ_00066	1	1473	288	1473	100	23.7794	37.3	60
PNFGHFNJ_00067	1	768	198	768	100	30.582	37.5	59.4
PNFGHFNJ_00068	1	294	136	294	100	30.9456	37.1	59.3
PNFGHFNJ_00069	1	1101	234	1101	100	26.3288	37.3	60
PNFGHFNJ_00070	1	345	66	345	100	19.3449	37.7	60
PNFGHFNJ_00071	1	2337	492	2337	100	25.528	37.3	59.4
PNFGHFNJ_00072	1	972	222	972	100	25.2531	37.3	59.6
PNFGHFNJ_00073	1	348	104	348	100	29.4253	37.9	60
PNFGHFNJ_00074	1	324	95	324	100	30.3395	37.5	60
PNFGHFNJ_00075	1	76	107	76	100	69.6316	37.7	57.8
PNFGHFNJ_00076	1	1134	277	1134	100	27.4462	37.5	60
PNFGHFNJ_00077	1	885	260	885	100	35.7548	37.6	59.8
PNFGHFNJ_00078	1	570	165	570	100	31.4579	37.4	60
PNFGHFNJ_00079	1	879	223	879	100	29.1684	37.3	59.9
PNFGHFNJ_00080	1	723	206	723	100	29.6238	37.6	59.4
PNFGHFNJ_00081	1	1299	257	1299	100	22.7537	37.1	59.6
PNFGHFNJ_00082	1	1215	254	1215	100	25.8872	37.3	59.8
PNFGHFNJ_00083	1	759	190	759	100	25.3412	37.5	59.6
PNFGHFNJ_00084	1	645	197	645	100	37.0698	37.5	59.6
PNFGHFNJ_00085	1	1077	295	1077	100	31.8282	37.4	59.8
PNFGHFNJ_00086	1	765	232	765	100	35.8967	37.5	60
PNFGHFNJ_00087	1	735	130	735	100	21.2816	37.5	59.5
PNFGHFNJ_00088	1	1296	333	1296	100	30.4753	37.6	59.9
PNFGHFNJ_00089	1	4089	959	4089	100	27.8863	37.4	59.6
PNFGHFNJ_00090	1	1539	370	1539	100	27.0182	37.1	59.8
PNFGHFNJ_00091	1	762	190	762	100	27.7572	37.4	60
PNFGHFNJ_00092	1	1317	406	1317	100	31.9636	37.4	59
PNFGHFNJ_00093	1	1086	288	1086	100	32.5709	37.5	59.7
PNFGHFNJ_00094	1	840	222	840	100	31.8524	37.2	59.8
PNFGHFNJ_00095	1	333	100	333	100	32.6486	37.6	59.1
PNFGHFNJ_00096	1	76	36	76	100	22.8947	36.9	58.3
PNFGHFNJ_00097	1	504	146	504	100	26.8214	37.1	59.8
PNFGHFNJ_00098	1	600	154	600	100	25.9033	37.5	59.8
PNFGHFNJ_00099	1	1404	409	1404	100	33.5798	37.5	59.3
PNFGHFNJ_00100	1	498	125	498	100	28.9759	37.2	60
PNFGHFNJ_00101	1	1356	362	1356	100	32.2876	37.5	60
PNFGHFNJ_00102	1	852	275	852	100	33.446	37.7	59.9
PNFGHFNJ_00103	1	447	152	447	100	36.3602	37.6	59.5
PNFGHFNJ_00104	1	252	98	252	100	45.5	37.3	59.9
PNFGHFNJ_00105	1	348	118	348	100	37.5115	37.3	59.8
PNFGHFNJ_00106	1	837	218	837	100	26.4265	37.4	57.6
PNFGHFNJ_00107	1	750	166	750	100	25.7307	37.2	58.8
PNFGHFNJ_00108	1	747	205	747	100	29.7229	37.3	59.6
PNFGHFNJ_00109	1	675	172	675	100	28.0207	37.7	59.9
PNFGHFNJ_00110	1	591	120	591	100	23.9459	37.5	59.8
PNFGHFNJ_00111	1	1158	240	1158	100	24.7936	37.2	59.5
PNFGHFNJ_00112	1	384	117	384	100	27.9922	37.5	59.8
PNFGHFNJ_00113	1	975	239	975	100	29.2831	37.4	59.8
PNFGHFNJ_00114	1	624	188	624	100	32.3029	37.5	59.5
PNFGHFNJ_00115	1	402	82	402	100	25.5025	37.2	59.2
PNFGHFNJ_00116	1	366	106	366	100	24.2705	37	59.2
PNFGHFNJ_00117	1	219	66	219	100	29.589	37.6	60
PNFGHFNJ_00118	1	1314	400	1314	100	35.6065	37.3	59.7
PNFGHFNJ_00119	1	522	140	522	100	27.8582	37.7	60
PNFGHFNJ_00120	1	180	74	180	100	29.2222	37	59.8
PNFGHFNJ_00121	1	519	160	519	100	31.8805	37.3	59.5
PNFGHFNJ_00122	1	366	114	366	100	35.2186	37.2	60
PNFGHFNJ_00123	1	534	152	534	100	25.3034	37.7	59.4
PNFGHFNJ_00124	1	396	150	396	100	40.5202	37.4	60
PNFGHFNJ_00125	1	306	122	306	100	42.4183	37.4	59.3
PNFGHFNJ_00126	1	540	158	540	100	34.6852	37.2	59.7
PNFGHFNJ_00127	1	264	95	264	100	33.447	37.3	60
PNFGHFNJ_00128	1	369	113	369	100	29.1707	37.7	59.5
PNFGHFNJ_00129	1	270	97	270	100	25.6963	37.7	60
PNFGHFNJ_00130	1	192	52	192	100	31.1719	37.7	60
PNFGHFNJ_00131	1	417	157	417	100	31.3645	37.3	60
PNFGHFNJ_00132	1	846	207	846	100	32.4551	37.1	59.6
PNFGHFNJ_00133	1	330	88	330	100	27.0697	37.5	59.9
PNFGHFNJ_00134	1	273	76	273	100	31.0989	37.5	59.5
PNFGHFNJ_00135	1	831	158	831	100	22.0866	37.4	60
PNFGHFNJ_00136	1	300	80	300	100	24.0467	37.5	60
PNFGHFNJ_00137	1	621	144	621	100	23.8325	37.6	59.1
PNFGHFNJ_00138	1	666	142	666	100	19.8619	37.4	60
PNFGHFNJ_00139	1	309	76	309	100	30.4369	37.2	60
PNFGHFNJ_00140	1	147	58	147	100	34.9116	37.7	59.3
PNFGHFNJ_00141	1	117	34	117	100	26.8205	37.4	60
PNFGHFNJ_00142	1	1224	299	1224	100	27.9191	37.5	58.7
PNFGHFNJ_00143	1	1551	344	1551	100	26.5596	37.6	59.5
PNFGHFNJ_00144	1	1170	336	1170	100	31.7137	37.6	57.8
PNFGHFNJ_00145	1	3282	645	3282	100	23.3282	37.3	59.8
PNFGHFNJ_00146	1	1878	418	1878	100	27.1331	37.5	59.6
PNFGHFNJ_00147	1	300	70	300	100	19.8667	37.1	59.6
PNFGHFNJ_00148	1	942	237	942	100	28.7781	37.5	59.9
PNFGHFNJ_00149	1	369	130	369	100	32.7019	37.3	59.4
PNFGHFNJ_00150	1	1101	202	1101	100	22.6803	37.4	59.7
PNFGHFNJ_00151	1	1287	305	1287	100	26.7832	37.1	60
PNFGHFNJ_00152	1	1071	224	1071	100	27.0803	37.5	60
PNFGHFNJ_00153	1	1878	336	1878	100	21.5628	37.3	59.6
PNFGHFNJ_00154	1	213	34	213	100	9.07981	37.6	58.8
PNFGHFNJ_00155	1	204	66	204	100	27.1373	37.3	60
PNFGHFNJ_00156	1	972	265	972	100	27.3333	37.7	58.9
PNFGHFNJ_00157	1	1038	270	1038	100	34.975	37.8	59.9
PNFGHFNJ_00158	1	735	164	735	100	24.683	37.5	59.4
PNFGHFNJ_00159	1	768	202	768	100	28.2617	37.8	59.4
PNFGHFNJ_00160	1	2511	455	2511	100	22.3835	37.6	59.4
PNFGHFNJ_00161	1	945	219	945	100	27.455	37.3	60
PNFGHFNJ_00162	1	1758	394	1758	100	25.8862	37.5	59.9
PNFGHFNJ_00163	1	867	184	867	100	22.857	37.3	59.3
PNFGHFNJ_00164	1	354	58	354	100	15.3446	37.7	56.3
PNFGHFNJ_00165	1	453	66	417	92.053	18.6137	37.5	58.2
PNFGHFNJ_00166	1	633	176	633	100	28.9842	37.4	60
PNFGHFNJ_00167	1	1797	473	1797	100	33.0985	37.4	59.6
PNFGHFNJ_00168	1	609	169	609	100	29.8998	37.4	59.9
PNFGHFNJ_00169	1	402	146	402	100	35.1891	37.4	58.6
PNFGHFNJ_00170	1	483	138	483	100	27.3395	36.9	59.9
PNFGHFNJ_00171	1	1263	299	1263	100	27.9161	37.2	59.9
PNFGHFNJ_00172	1	2925	648	2925	100	27.7682	37.3	59.7
PNFGHFNJ_00173	1	654	174	654	100	28.63	37.4	58.8
PNFGHFNJ_00174	1	426	112	426	100	27.1408	37.5	58.6
PNFGHFNJ_00175	1	1467	350	1467	100	26.3177	37.5	59.5
PNFGHFNJ_00176	1	4809	1046	4809	100	26.3286	37.4	59.4
PNFGHFNJ_00177	1	705	190	705	100	31.0014	37.3	59.9
PNFGHFNJ_00178	1	1224	290	1224	100	27.4877	37.2	59.4
PNFGHFNJ_00179	1	597	128	597	100	22.742	37.2	59.9
PNFGHFNJ_00180	1	111	54	111	100	31.3694	37.5	58.9
PNFGHFNJ_00181	1	180	62	180	100	36.4	37	60
PNFGHFNJ_00182	1	213	55	213	100	21.9531	37.3	58.1
PNFGHFNJ_00183	1	489	125	489	100	26.683	37.1	60
PNFGHFNJ_00184	1	408	66	408	100	17.7843	37.7	60
PNFGHFNJ_00185	1	828	204	828	100	29.5894	37.5	59.4
PNFGHFNJ_00186	1	759	202	759	100	26.6192	37.6	59.2
PNFGHFNJ_00187	1	1656	340	1656	100	26.4444	37.5	59.5
PNFGHFNJ_00188	1	291	90	291	100	28.1856	37.5	59.6
PNFGHFNJ_00189	1	261	82	261	100	28.5211	37.8	60
PNFGHFNJ_00190	1	615	162	615	100	28.5398	37.5	60
PNFGHFNJ_00191	1	2289	408	2289	100	21.481	37.5	58.9
PNFGHFNJ_00192	1	729	152	729	100	22.096	37.4	59.7
PNFGHFNJ_00193	1	2019	410	2019	100	23.7776	37.4	59.7
PNFGHFNJ_00194	1	1017	220	1017	100	25.9567	37.4	58.8
PNFGHFNJ_00195	1	1179	219	1179	100	21.788	37.1	58.9
PNFGHFNJ_00196	1	1473	305	1473	100	24.7434	37.4	59.7
PNFGHFNJ_00197	1	1065	230	1065	100	24.7211	37.4	59.7
PNFGHFNJ_00198	1	1365	288	1365	100	24.2886	37.4	59.8
PNFGHFNJ_00199	1	1098	208	1098	100	22.7696	37.5	59.8
PNFGHFNJ_00200	1	1203	282	1203	100	28.6185	37.5	59.8
PNFGHFNJ_00201	1	891	192	891	100	24.3232	37.4	59.7
PNFGHFNJ_00202	1	1056	178	1056	100	18.9451	37.5	59.8
PNFGHFNJ_00203	1	570	144	570	100	28.7632	37.5	59.8
PNFGHFNJ_00204	1	381	101	381	100	20.4724	37.6	58.8
PNFGHFNJ_00205	1	603	169	603	100	27.5025	37.4	59.8
PNFGHFNJ_00206	1	1362	398	1362	100	35.3715	37.5	59.6
PNFGHFNJ_00207	1	423	108	423	100	25.0922	37.5	58.6
PNFGHFNJ_00208	1	666	176	666	100	26.7748	37.3	59.5
PNFGHFNJ_00209	1	645	174	645	100	25.7426	37.7	59.7
PNFGHFNJ_00210	1	777	164	777	100	29.4337	37.8	60
PNFGHFNJ_00211	1	1401	360	1401	100	28.1777	37.4	59.6
PNFGHFNJ_00212	1	150	51	150	100	26.4	37.7	59.2
PNFGHFNJ_00213	1	483	110	483	100	26.9213	37.5	58.6
PNFGHFNJ_00214	1	1032	228	1032	100	26.4729	37.4	59.6
PNFGHFNJ_00215	1	303	104	303	100	30.3234	37.1	59.7
PNFGHFNJ_00216	1	1629	407	1629	100	30.078	37.4	59.7
PNFGHFNJ_00217	1	915	213	915	100	27.8623	37.3	59.7
PNFGHFNJ_00218	1	1311	257	1311	100	24.0366	37.5	58.9
PNFGHFNJ_00219	1	864	190	864	100	20.5683	37.3	59.4
PNFGHFNJ_00220	1	1635	338	1635	100	24.3254	37.4	59.6
PNFGHFNJ_00221	1	807	147	807	100	20.9603	37.3	60
PNFGHFNJ_00222	1	279	58	279	100	19.0968	37.4	59.8
PNFGHFNJ_00223	1	180	72	180	100	32.7667	37.9	60
PNFGHFNJ_00224	1	2601	516	2601	100	23.9723	37.4	59.7
PNFGHFNJ_00225	1	459	83	459	100	19.78	36.9	60
PNFGHFNJ_00226	1	282	59	282	100	24.5816	37.7	60
PNFGHFNJ_00227	1	618	166	618	100	29.6149	37.4	60
PNFGHFNJ_00228	1	423	76	423	100	19.2057	37.6	60
PNFGHFNJ_00229	1	780	176	780	100	23.1667	37.5	59.8
PNFGHFNJ_00230	1	1668	325	1668	100	23.0827	37.3	59.9
PNFGHFNJ_00231	1	963	194	963	100	25.758	37.6	60
PNFGHFNJ_00232	1	525	80	525	100	16.4343	37.6	60
PNFGHFNJ_00233	1	1962	388	1962	100	22.5505	37.7	59.5
PNFGHFNJ_00234	1	1266	190	1266	100	17.06	37.7	59.8
PNFGHFNJ_00235	1	561	100	561	100	19.2977	37.4	59.7
PNFGHFNJ_00236	1	291	90	291	100	23.7354	37.3	59.8
PNFGHFNJ_00237	1	1560	282	1560	100	22.9122	37.5	59.3
PNFGHFNJ_00238	1	219	59	219	100	15.8539	37.2	59.9
PNFGHFNJ_00239	1	1332	234	1332	100	20.9182	37.3	59.1
PNFGHFNJ_00240	1	76	57	76	100	39.0263	37.2	58.1
PNFGHFNJ_00241	1	963	192	963	100	23.7196	37.4	59.6
PNFGHFNJ_00242	1	444	92	444	100	21.8784	37	59.7
PNFGHFNJ_00243	1	699	108	699	100	19.3033	37.6	59.6
PNFGHFNJ_00244	1	2070	468	2070	100	26.03	37.6	59.3
PNFGHFNJ_00245	1	969	206	969	100	26.9154	37.4	59.5
PNFGHFNJ_00246	1	921	252	921	100	26.5364	37.4	59.5
PNFGHFNJ_00247	1	357	88	357	100	28.2185	37.9	59.5
PNFGHFNJ_00248	1	1071	270	1071	100	30.1363	37.2	59.9
PNFGHFNJ_00249	1	1443	272	1443	100	21.3687	37.6	59.8
PNFGHFNJ_00250	1	1098	238	1098	100	23.3588	37.3	59.1
PNFGHFNJ_00251	1	1146	262	1146	100	28.6562	37.6	59.7
PNFGHFNJ_00252	1	1410	256	1410	100	21.527	37.2	59.5
PNFGHFNJ_00253	1	684	124	684	100	19.1871	37.8	60
PNFGHFNJ_00254	1	1131	246	1131	100	26.1485	37.5	60
PNFGHFNJ_00255	1	1137	238	1137	100	23.6086	37.5	59.6
PNFGHFNJ_00256	1	780	156	780	100	26.3564	37.4	60
PNFGHFNJ_00257	1	675	150	675	100	25.3822	37.6	60
PNFGHFNJ_00258	1	1212	288	1212	100	27.7805	37.2	59.7
PNFGHFNJ_00259	1	816	145	816	100	20.3652	37.8	60
PNFGHFNJ_00260	1	879	204	879	100	24.7668	37.5	60
PNFGHFNJ_00261	1	1371	292	1371	100	25.3654	37.3	59.6
PNFGHFNJ_00262	1	567	150	567	100	27.873	37.3	57.7
PNFGHFNJ_00263	1	501	112	501	100	22.3932	37.3	60
PNFGHFNJ_00264	1	1476	340	1476	100	27.4282	37.6	59.9
PNFGHFNJ_00265	1	1191	223	1191	100	23.3056	37.3	59.6
PNFGHFNJ_00266	1	417	62	417	100	14.8969	37.4	60
PNFGHFNJ_00267	1	336	78	336	100	20.1071	37.5	60
PNFGHFNJ_00268	1	1164	236	1164	100	23.3694	37.5	60
PNFGHFNJ_00269	1	705	133	705	100	20.6624	37.2	59.4
PNFGHFNJ_00270	1	3243	687	3243	100	26.4261	37.6	59.7
PNFGHFNJ_00271	1	1341	305	1341	100	24.9978	37.4	60
PNFGHFNJ_00272	1	642	178	642	100	31.9159	37.2	59.8
PNFGHFNJ_00273	1	1017	284	1017	100	34.766	37.6	59.8
PNFGHFNJ_00274	1	1665	321	1665	100	21.1922	37.3	59.4
PNFGHFNJ_00275	1	393	145	393	100	34.6794	37.7	60
PNFGHFNJ_00276	1	798	214	798	100	31.9749	37.5	59.8
PNFGHFNJ_00277	1	1371	334	1371	100	30.8629	37.3	59.7
PNFGHFNJ_00278	1	804	222	804	100	31.0398	37.4	59.8
PNFGHFNJ_00279	1	1326	296	1326	100	26.1486	37.5	60
PNFGHFNJ_00280	1	597	137	597	100	24.7554	37.6	58.5
PNFGHFNJ_00281	1	1374	324	1374	100	30.5655	37.5	59.8
PNFGHFNJ_00282	1	600	214	600	100	38.285	37.4	60
PNFGHFNJ_00283	1	825	196	825	100	26.3055	37.5	60
PNFGHFNJ_00284	1	504	121	504	100	26.1409	37.4	60
PNFGHFNJ_00285	1	864	278	864	100	37.5278	37.4	60
PNFGHFNJ_00286	1	921	262	921	100	32.6124	37.2	59.7
PNFGHFNJ_00287	1	1212	325	1212	100	29.3457	37.6	59.8
PNFGHFNJ_00288	1	309	87	309	100	35.7767	37.2	60
PNFGHFNJ_00289	1	702	152	702	100	28.2977	37.4	60
PNFGHFNJ_00290	1	1230	388	1230	100	37.9114	37.6	59.7
PNFGHFNJ_00291	1	945	246	945	100	28.655	37.5	59.8
PNFGHFNJ_00292	1	279	88	279	100	37.1111	37.6	60
PNFGHFNJ_00293	1	663	136	663	100	25.1674	37.7	60
PNFGHFNJ_00294	1	975	226	975	100	29.4769	37.6	59.8
PNFGHFNJ_00295	1	495	156	495	100	34.299	37.6	59.7
PNFGHFNJ_00296	1	675	184	675	100	30.9067	37.6	57.8
PNFGHFNJ_00297	1	165	70	165	100	34.1091	37.5	59.9
PNFGHFNJ_00298	1	951	240	951	100	27.347	37.2	59.3
PNFGHFNJ_00299	1	654	168	654	100	28.8318	37.5	59.8
PNFGHFNJ_00300	1	552	156	552	100	29.0399	36.9	59.6
PNFGHFNJ_00301	1	1806	474	1806	100	31.2996	37.6	59.8
PNFGHFNJ_00302	1	76	52	76	100	30.8947	37.7	59.8
PNFGHFNJ_00303	1	540	123	540	100	25.2722	37.5	59.4
PNFGHFNJ_00304	1	663	159	663	100	28.7406	36.6	60
PNFGHFNJ_00305	1	2166	435	2166	100	22.8407	37.3	60
PNFGHFNJ_00306	1	993	204	993	100	27.2195	37.4	59.2
PNFGHFNJ_00307	1	417	159	417	100	35.1103	37.6	60
PNFGHFNJ_00308	1	1410	391	1410	100	33.256	37.5	59.5
PNFGHFNJ_00309	1	867	232	867	100	25.7878	37.6	59.7
PNFGHFNJ_00310	1	1548	370	1548	100	30.3986	37.4	59.8
PNFGHFNJ_00311	1	546	161	546	100	25.804	37.3	59.8
PNFGHFNJ_00312	1	474	126	474	100	24.4388	37.4	59.1
PNFGHFNJ_00313	1	243	87	243	100	47.4239	37.8	60
PNFGHFNJ_00314	1	849	238	849	100	34.6125	37.6	60
PNFGHFNJ_00315	1	525	218	525	100	46.8038	37.6	59.8
PNFGHFNJ_00316	1	924	272	924	100	34.7013	37.5	59.6
PNFGHFNJ_00317	1	792	206	792	100	26.8081	37.5	59.5
PNFGHFNJ_00318	1	723	162	723	100	24.8077	37.8	59.8
PNFGHFNJ_00319	1	1926	500	1926	100	30.4408	37.5	59.6
PNFGHFNJ_00320	1	969	192	969	100	25.2993	37.4	59.8
PNFGHFNJ_00321	1	528	162	528	100	32.375	37.6	60
PNFGHFNJ_00322	1	1374	386	1374	100	35.0218	37.4	59.9
PNFGHFNJ_00323	1	690	190	690	100	29.5739	37.5	59.8
PNFGHFNJ_00324	1	2127	662	2127	100	36.7494	37.8	59.9
PNFGHFNJ_00325	1	924	323	924	100	41.6115	37.7	59.7
PNFGHFNJ_00326	1	2526	832	2526	100	40.1781	37.8	59.6
PNFGHFNJ_00327	1	972	224	972	100	26.678	37.8	60
PNFGHFNJ_00328	1	531	144	531	100	28.0151	37.5	59.2
PNFGHFNJ_00329	1	996	291	996	100	32.6235	37.5	59.8
PNFGHFNJ_00330	1	843	218	843	100	32.2313	37.6	60
PNFGHFNJ_00331	1	1311	333	1311	100	30.2647	37.6	59.9
PNFGHFNJ_00332	1	696	177	696	100	29.6652	37.5	60
PNFGHFNJ_00333	1	2262	645	2262	100	33.2728	37.6	59.7
PNFGHFNJ_00334	1	690	180	690	100	27.3159	37.5	59.7
PNFGHFNJ_00335	1	1389	362	1389	100	29.3312	37.5	59.4
PNFGHFNJ_00336	1	1473	432	1473	100	32.9871	37.5	59.8
PNFGHFNJ_00337	1	852	264	852	100	36.2113	37.6	60
PNFGHFNJ_00338	1	645	143	645	100	26.3705	37.7	60
PNFGHFNJ_00339	1	1170	306	1170	100	30.0188	37.6	59.7
PNFGHFNJ_00340	1	408	127	408	100	32.9804	37.3	60
PNFGHFNJ_00341	1	1764	349	1764	100	23.1565	37.6	59.9
PNFGHFNJ_00342	1	270	79	270	100	27.7444	37.3	59.9
PNFGHFNJ_00343	1	303	54	303	100	21.3102	37.3	60
PNFGHFNJ_00344	1	996	301	996	100	31.4699	37.8	59.7
PNFGHFNJ_00345	1	1392	334	1392	100	29.2823	37.5	59.7
PNFGHFNJ_00346	1	1410	370	1410	100	27.561	37.6	58
PNFGHFNJ_00347	1	339	82	339	100	29.3864	37.2	58
PNFGHFNJ_00348	1	183	74	183	100	19.1803	37.7	59.4
PNFGHFNJ_00349	1	333	78	333	100	18.8649	37.4	60
PNFGHFNJ_00350	1	1650	380	1650	100	28.4515	37.4	59.8
PNFGHFNJ_00351	1	501	127	501	100	24.501	37.3	59.7
PNFGHFNJ_00352	1	348	80	348	100	26.5316	37.4	59.6
PNFGHFNJ_00353	1	3858	958	3858	100	30.2965	37.5	59.8
PNFGHFNJ_00354	1	1002	210	1002	100	24.9361	37.7	59.9
PNFGHFNJ_00355	1	1689	404	1689	100	26.4103	37.5	59
PNFGHFNJ_00356	1	1767	446	1767	100	30.0096	37.6	59.7
PNFGHFNJ_00357	1	1185	282	1185	100	29.7392	37.4	59.9
PNFGHFNJ_00358	1	1083	302	1083	100	29.6334	37.4	59.8
PNFGHFNJ_00359	1	1599	965	1599	100	75.6629	37.8	60
PNFGHFNJ_00360	1	564	330	564	100	67.9663	37.7	59.7
PNFGHFNJ_00361	1	222	185	222	100	77.6622	37.5	59.8
PNFGHFNJ_00362	1	276	199	276	100	71.7717	37.8	59.9
PNFGHFNJ_00363	1	660	430	660	100	71.9288	37.9	59.8
PNFGHFNJ_00364	1	1761	1020	1761	100	72.8711	37.9	59.8
PNFGHFNJ_00365	1	2571	1374	2571	100	67.5784	37.8	59.9
PNFGHFNJ_00366	1	1266	830	1266	100	79.0371	37.8	59.9
PNFGHFNJ_00367	1	1701	1088	1701	100	81.1411	37.8	59.9
PNFGHFNJ_00368	1	402	288	402	100	77.2438	37.9	59.9
PNFGHFNJ_00369	1	378	200	378	100	64.6746	37.9	60
PNFGHFNJ_00370	1	132	97	132	100	43.6212	37.7	60
PNFGHFNJ_00371	1	1896	1141	1896	100	75.4905	37.8	59.8
PNFGHFNJ_00372	1	159	115	159	100	71.2075	38.2	59.7
PNFGHFNJ_00373	1	312	236	312	100	79.5929	37.9	59.9
PNFGHFNJ_00374	1	762	487	762	100	76.4934	37.8	59.9
PNFGHFNJ_00375	1	294	241	294	100	88.017	38	59.5
PNFGHFNJ_00376	1	519	219	519	100	49.8613	38	58.5
PNFGHFNJ_00377	1	684	383	684	100	61.6404	37.9	58.4
PNFGHFNJ_00378	1	408	240	408	100	71.4412	37.8	59.5
PNFGHFNJ_00379	1	1635	1146	1635	100	83.3694	37.7	59.9
PNFGHFNJ_00380	1	219	205	219	100	90.5297	37.8	59.8
PNFGHFNJ_00381	1	213	279	213	100	146.897	37.8	60
PNFGHFNJ_00382	1	573	342	573	100	55.5218	37.5	58.4
PNFGHFNJ_00383	1	180	175	180	100	71.6889	37.4	60
PNFGHFNJ_00384	1	225	212	225	100	87.4978	38	59.9
PNFGHFNJ_00385	1	240	168	240	100	78.475	37.9	60
PNFGHFNJ_00386	1	1629	1042	1629	100	78.4843	37.9	59.9
