MMETSP.Strain,Doubling.Time,OGT,Source
Prasinococcus capsulatus CCMP1194,24.83,15,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.3971
Perkinsus marinus ATCC 50439,16.9,28,https://scholarworks.wm.edu/vimsarticles/1499/
Tiarina fusus LIS,35.39,19,https://www.int-res.com/abstracts/ame/v28/n3/p289-297
Bolidomonas pacifica CCMP 1866,18,20,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x
Amphidinium massartii CS-259,66.54,25,https://link.springer.com/article/10.1007/s10811-019-01855-0
Stephanopyxis turris CCMP 815,34.66,17,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1472-4669.2010.00250.x?casa_token=5M6kNvmW3gIAAAAA%3AeiJSvWLfI34ZpTtbFDnPVXy8h94rxGm2_7YO8iyqqehuJCSD_4r7f_BBQKwvQOlC3W0IfP_hX_HOqg
Tetraselmis chuii PLY429,16.1,20,https://www.sciencedirect.com/science/article/pii/S0166445X18301498
Dinophysis acuminata DAEP01,23.77,15,https://www.sciencedirect.com/science/article/pii/S1568988308000759
Myrionecta rubra CCMP2563,34.66,15,https://www.sciencedirect.com/science/article/pii/S1568988311000370?casa_token=A_DUnsx13AgAAAAA:ZkicuWkO23q8lCHdl5tAoM0jRzKMqGWImHalKZ0hdzEbEgfRNoaUP6sqnEqQroV1lbVQykZV
Pseudo-nitzschia fraudulenta WWA7,13.75,20,https://www.sciencedirect.com/science/article/pii/S156898830900050X?casa_token=bngImfuHQKUAAAAA:snDUUhIWJqZzMXTI6KYr9Rc7Ts1E0M5j5wwYYF9qtp5YZCAOHqBz-fLKc7nbfdF6FrUebfFT
Pelagomonas calceolata CCMP1756,33,20,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x
Bolidomonas pacifica RCC208,32.62,20,https://academic.oup.com/plankt/article/35/2/260/1442036?login=true
Dictyocha speculum CCMP1381,24,15,https://www.tandfonline.com/doi/abs/10.2216/i0031-8884-32-1-29.1
Hemiselmis tepida CCMP443,21.33,20,https://www.int-res.com/articles/ame2012/66/a066p063.pdf
Scyphosphaera apsteinii RCC1455,66.54,15,https://www.sciencedirect.com/science/article/pii/S0016703720304002
Pycnococcus provasolii,33,20,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x
Picochlorum oklahomensis CCMP2329,33.6,23,https://aocs.onlinelibrary.wiley.com/doi/full/10.1007/s11746-013-2225-0
Chrysochromulina brevifilum UTEX LB 985,26.66,20,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2427.1997.00138.x
Ochromonas sp. BG-1,6.4,20,https://link.springer.com/content/pdf/10.1007/s00248-001-1024-6.pdf
Amphiprora paludosa CCMP125,8.89,22,https://www.researchgate.net/profile/David-Siqueiros-Beltrones/publication/274382655_Isolation_and_growth_of_eight_strains_of_benthic_diatoms_cultured_under_two_light_conditions/links/554baa7e0cf21ed2135a85cb/Isolation-and-growth-of-eight-strains-of-benthic-diatoms-cultured-under-two-light-conditions.pdf
Thalassiosira gravida GMp14c1,33.27,5,https://www.frontiersin.org/articles/10.3389/fmars.2018.00354/full
Blepharisma japonicum Stock R1072,15.19,23,https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.1402430306
Chromera velia CCMP2878,32,28,https://theses.cz/id/n47qir/15012357
Compsopogon coeruleus SAG 36.94,831.78,20,https://link.springer.com/article/10.1007%252Fs40415-014-0088-8
Rhodella maculata CCMP 736,17.89,23.83,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.11170
Thalassiosira weissflogii CCMP1010,8.3,20,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1529-8817.2006.00250.x
Climacostomum Climacostomum virens Stock W-24,36,22.7,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1550-7408.1972.tb03496.x
Bathycoccus prasinos CCMP1898,34,20,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1529-8817.2001.037003357.x
Pseudo-nitzschia heimii UNC1101,12.32,18,https://aslopubs.onlinelibrary.wiley.com/doi/abs/10.4319/lo.2006.51.5.2092
Chaetoceros affinis CCMP159,14.12,13,https://www.sciencedirect.com/science/article/pii/0022098177900466
Alexandrium andersonii CCMP2222,38.51,20,https://www.sciencedirect.com/science/article/pii/S1568988316301809
Eucampia antarctica CCMP1452,51.99,20,https://aslopubs.onlinelibrary.wiley.com/doi/full/10.1002/lno.10578
Gonyaulax spinifera CCMP409,52.64,20,https://www.sciencedirect.com/science/article/pii/S1568988308000723
Polarella glacialis CCMP2088,166.36,4,https://www.sciencedirect.com/science/article/pii/S0022098112003334
Attheya septentrionalis,23.77,10,https://www.sciencedirect.com/science/article/pii/S2211926417303107
Phaeocystis cordata,19.58,19,https://link.springer.com/article/10.1007/s11120-011-9655-z
